year;competition_name;Apollon's Wheels;Max Deadlift;Hummer Push;Timber Carry;Medicine Ball Toss;Hammer Lift;Dumbbell Press;Weight Throw;Super Yoke;Manhood Stones;Austrian Oak;Bale Tote;Cyr Dumbbell;Bag Over Bar;Stone to Shoulder;Húsafell Stone;Wheel of Pain;Trial by Stone;Max Squat;Max Log Lift;Steintossen;Webster Stones;Stones of Strength;Car Walk;Farmer's Walk;Atlas Stones;Truck Pull;Natural Stones;Frame Carry;Stone Over Bar;Log Lift;Deadlift;Arm Over Arm Pull;Keg Toss;Squat Lift;Viking Press;Power Stairs;Medley;Axle Press;Tank Pull;Sack Carry;Loading Race;Boat Pull;Car Flip;Crucifix Hold;Bar Bend;Tug of War;Tire Flip;Hercules Hold;Rock Press;Conan's Wheel;Wheelbarrow Carry;Block Carry;Max Axle Press;Shield Carry;Overhead Medley;Front Hold;Bus Pull;Flip & Drag;Nicol Stones;Deadlift Ladder;Carry & Drag;Log Ladder;Load & Push;Deadlift Hold;Fingal's Fingers;Carry Medley;Log Medley;Africa Stone;Sled Pull;Keg Carry;Hip Lift;Carry & Flip;Cross Carry;Pole Push;Safe Lift;Dumbbell Medley;Max Stone Press;Vertical Lift;Cyr Dumbbell Ladder;Inver Stones;Rogue-a-Coaster;The Duel;Sandbag Toss;Leg Press;Medley #1;Chest Press;Medley #2;Flag Hoist;McGlashen Stones;Plane Pull;Train Pull;Fridge Carry;Ding Carry;Circus Barbell;Kettlebell Toss;Overhead Press;Giant's Medley;Titan's Turntable;Flintstone Barbell;Max Dumbbell;Basque Circle;Car Pull;Giant Farmer's Walk;Wrestling;Block Press;Norse Hammers;Load & Drag;Bullion Toss;Last Man Standing;Elephant Carry;Load & Carry;Circle of Strength;Loading Medley;Pickaxe Hold;Stone Off;Train Push;Wrecking Ball Hold;Deadlift Machine;Chain Railway Carriage;Axle Death-Lift
2010;Giants Live Turkey;;;;;;;;;;;;;;;;;;;;;;;;;;(Eliminated);;;;;1 rep;13 reps;;;;;;41.50 s;;;;;;;;;;;;;;;;165 kg;16.65 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Turkey;;;;;;;;;;;;;;;;;;;;;;;;;;(Eliminated);;;;;2 reps;6 reps;;;;;;44.16 s;;;;;;;;;;;;;;;;185 kg;5.67 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Ukraine;;;;;;;9 reps;;13.83 s;;;;;;;;;;;;;;;;;5 in 33.03 s;;;;;;13 reps;4.24 m;;;18 reps;;;;;;;;;;;;;;;810 °;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Ukraine;;;;;;;4 reps;;11.11 s;;;;;;;;;;;;;;;;;5 in 50.37 s;;;;;;14 reps;10.52 m;;;18 reps;;;;;;;;;;;;;;;511 °;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Ukraine;;;;;;;5 reps;;16.40 s;;;;;;;;;;;;;;;;;5 in 44.59 s;;;;;;9 reps;11.47 m;;;13 reps;;;;;;;;;;;;;;;754 °;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Ukraine;;;;;;;3 reps;;14.05 s;;;;;;;;;;;;;;;;;4 in 27.53 s;;;;;;14 reps;5.77 m;;;18 reps;;;;;;;;;;;;;;;457 °;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Ukraine;;;;;;;8 reps;;19.10 s;;;;;;;;;;;;;;;;;4 in 27.44 s;;;;;;8 reps;10.66 m;;;15 reps;;;;;;;;;;;;;;;581 °;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Ukraine;;;;;;;8 reps;;24.35 s;;;;;;;;;;;;;;;;;4 in 54.98 s;;;;;;12 reps;3.03 m;;;13 reps;;;;;;;;;;;;;;;243 °;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Ukraine;;;;;;;0 reps;;17.10 s;;;;;;;;;;;;;;;;;3 in 18.48 s;;;;;;6 reps;5.28 m;;;18 reps;;;;;;;;;;;;;;;204 °;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Giants Live Ukraine;;;;;;;0 reps;;16.68 s;;;;;;;;;;;;;;;;;4 in 44.00 s;;;;;;9 reps;0.08 m;;;13 reps;;;;;;;;;;;;;;;146 °;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
