year;competition_name;Apollon's Wheels;Max Deadlift;Hummer Push;Timber Carry;Medicine Ball Toss;Hammer Lift;Dumbbell Press;Weight Throw;Super Yoke;Manhood Stones;Austrian Oak;Bale Tote;Cyr Dumbbell;Bag Over Bar;Stone to Shoulder;Húsafell Stone;Wheel of Pain;Trial by Stone;Max Squat;Max Log Lift;Steintossen;Webster Stones;Stones of Strength;Car Walk;Farmer's Walk;Atlas Stones;Truck Pull;Natural Stones;Frame Carry;Stone Over Bar;Log Lift;Deadlift;Arm Over Arm Pull;Keg Toss;Squat Lift;Viking Press;Power Stairs;Medley;Axle Press;Tank Pull;Sack Carry;Loading Race;Boat Pull;Car Flip;Crucifix Hold;Bar Bend;Tug of War;Tire Flip;Hercules Hold;Rock Press;Conan's Wheel;Wheelbarrow Carry;Block Carry;Max Axle Press;Shield Carry;Overhead Medley;Front Hold;Bus Pull;Flip & Drag;Nicol Stones;Deadlift Ladder;Carry & Drag;Log Ladder;Load & Push;Deadlift Hold;Fingal's Fingers;Carry Medley;Log Medley;Africa Stone;Sled Pull;Keg Carry;Hip Lift;Carry & Flip;Cross Carry;Pole Push;Safe Lift;Dumbbell Medley;Max Stone Press;Vertical Lift;Cyr Dumbbell Ladder;Inver Stones;Rogue-a-Coaster;The Duel;Sandbag Toss;Leg Press;Medley #1;Chest Press;Medley #2;Flag Hoist;McGlashen Stones;Plane Pull;Train Pull;Fridge Carry;Ding Carry;Circus Barbell;Kettlebell Toss;Overhead Press;Giant's Medley;Titan's Turntable;Flintstone Barbell;Max Dumbbell;Basque Circle;Car Pull;Giant Farmer's Walk;Wrestling;Block Press;Norse Hammers;Load & Drag;Bullion Toss;Last Man Standing;Elephant Carry;Load & Carry;Circle of Strength;Loading Medley;Pickaxe Hold;Stone Off;Train Push;Wrecking Ball Hold;Deadlift Machine;Chain Railway Carriage;Axle Death-Lift
1999;WSM Final;;320 kg;;;;;;;25.22 s;;;;;;;;;;;;;;;;;5 in 57.03 s;;;;;;;31.62 s;;;15 reps;;9.72 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.66 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;WSM Final;;370 kg;;;;;;;41.38 s;;;;;;;;;;;;;;;;;5 in 61.82 s;;;;;;;44.56 s;;;11 reps;;56.00 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.66 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;WSM Final;;320 kg;;;;;;;41.49 s;;;;;;;;;;;;;;;;;4 in 37.72 s;;;;;;;44.62 s;;;8 reps;;9.5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.53 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;WSM Final;;300 kg;;;;;;;10.91 m;;;;;;;;;;;;;;;;;5 in 43.13 s;;;;;;;57.88 s;;;1 rep;;9.65 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;WSM Final;;320 kg;;;;;;;24.2 m;;;;;;;;;;;;;;;;;2 in 63.09 s;;;;;;;54.04 s;;;6 reps;;77.40 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59.63 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;WSM Final;;Withdrew;;;;;;;1.8 m;;;;;;;;;;;;;;;;;Withdrew;;;;;;;Withdrew;;;Withdrew;;Withdrew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Withdrew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;WSM Final;;;;;;;;;19.80 s;;;;;;;;;;;;;;;;25.00 s;5 in 34.50 s;49.00 s;;;;;;;;;;33.50 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.10 s;4 in 43.00 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;WSM Final;;;;;;;;;13.70 s;;;;;;;;;;;;;;;;26.90 s;5 in 30.70 s;54.70 s;;;;;;;;;;35.80 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.70 s;5 in 42.60 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;WSM Final;;;;;;;;;17.80 s;;;;;;;;;;;;;;;;26.30 s;5 in 37.20 s;54.20 s;;;;;;;;;;38.00 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;70.00 s;5 in 54.10 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;WSM Final;;;;;;;;;26.80 s;;;;;;;;;;;;;;;;28.30 s;5 in 50.20 s;54.00 s;;;;;;;;;;28.70 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;72.20 s;3 in 26.90 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;WSM Final;;;;;;;;;40.70 s;;;;;;;;;;;;;;;;25.60 s;4 in 35.80 s;51.40 s;;;;;;;;;;37.20 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.60 s;5 in 43.80 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;WSM Final;;;;;;;;;32.90 s;;;;;;;;;;;;;;;;30.90 s;5 in 54.20 s;66.10 s;;;;;;;;;;27.90 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.70 s;3 in 25.20 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;WSM Final;;;;;;;;;26.50 s;;;;;;;;;;;;;;;;39.00 s;3 in 46.00 s;58.40 s;;;;;;;;;;34.70 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.70 s;2 in 22.70 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;WSM Final;;;;;;;;;24.30 s;;;;;;;;;;;;;;;;16.3 m;4 in 59.40 s;64.90 s;;;;;;;;;;56.30 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.20 s;2 in 23.80 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;WSM Final;;;;;;;;;21.50 s;;;;;;;;;;;;;;;;Withdrew;Withdrew;Withdrew;;;;;;;;;;2 stairs;;;;;;;;;;;;;;;;;;;;;;;;;;;;Withdrew;Withdrew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;WSM Final;;;;;;;;;27.30 s;;;;;;;;;;;;;;;;Withdrew;Withdrew;Withdrew;;;;;;;;;;21 stairs;;;;;;;;;;;;;;;;;;;;;;;;;;;;Withdrew;Withdrew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;49.78 s;4 in 34.28 s;;;;;7 reps;;;;10 reps;;;;;;;;;;;;;;;;821 °;;;;;;;;;;;;;;;;;;;;;;40.75 s;;;;;;14.11 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;39.81 s;5 in 28.00 s;;;;;10 reps;;;;0 reps;;;;;;;;;;;;;;;;805 °;;;;;;;;;;;;;;;;;;;;;;40.63 s;;;;;;20.32 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;38.50 s;4 in 24.99 s;;;;;6 reps;;;;4 reps;;;;;;;;;;;;;;;;739 °;;;;;;;;;;;;;;;;;;;;;;40.81 s;;;;;;13.27 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;32.22 s;5 in 41.03 s;;;;;7 reps;;;;0 reps;;;;;;;;;;;;;;;;1144 °;;;;;;;;;;;;;;;;;;;;;;34.5 m;;;;;;16.11 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;74.6 m;5 in 39.11 s;;;;;4 reps;;;;6 reps;;;;;;;;;;;;;;;;937 °;;;;;;;;;;;;;;;;;;;;;;60.80 s;;;;;;15.66 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;71.3 m;4 in 29.40 s;;;;;11 reps;;;;9 reps;;;;;;;;;;;;;;;;425 °;;;;;;;;;;;;;;;;;;;;;;43.60 s;;;;;;44.20 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;57.50 s;1 in 23.75 s;;;;;5 reps;;;;1 rep;;;;;;;;;;;;;;;;777 °;;;;;;;;;;;;;;;;;;;;;;50.00 s;;;;;;25.87 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;41.49 s;4 in 35.17 s;;;;;6 reps;;;;0 reps;;;;;;;;;;;;;;;;501 °;;;;;;;;;;;;;;;;;;;;;;44.45 s;;;;;;1.1 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;49.77 s;(Withdrew);;;;;3 reps;;;;0 reps;;;;;;;;;;;;;;;;643 °;;;;;;;;;;;;;;;;;;;;;;53.25 s;;;;;;14.39 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;43.8 m;(Withdrew);;;;;6 reps;;;;9 reps;;;;;;;;;;;;;;;;240 °;;;;;;;;;;;;;;;;;;;;;;32 m;;;;;;1.7 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;33.95 s;5 in 55.40 s;44.38 s;;;;;8 reps;;;4 reps;;;;;;;;;;;;;;;;;;;;127.4 m;;;;39.01 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;44.28 s;4 in 54.75 s;43.97 s;;;;;9 reps;;;6 reps;;;;;;;;;;;;;;;;;;;;81 m;;;;46.55 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;50.37 s;5 in 41.05 s;64.56 s;;;;;11 reps;;;6 reps;;;;;;;;;;;;;;;;;;;;107.75 m;;;;27 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;53.96 s;5 in 43.86 s;46.21 s;;;;;8 reps;;;9 reps;;;;;;;;;;;;;;;;;;;;81.9 m;;;;22.1 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;72.6 m;4 in 30.28 s;46.00 s;;;;;8 reps;;;14 reps;;;;;;;;;;;;;;;;;;;;79.6 m;;;;28.5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;40.07 s;4 in 32.65 s;27.4 m;;;;;9 reps;;;3 reps;;;;;;;;;;;;;;;;;;;;112.35 m;;;;24.9 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;55.06 s;4 in 28.11 s;44.84 s;;;;;6 reps;;;12 reps;;;;;;;;;;;;;;;;;;;;68.55 m;;;;29.9 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;30 m;4 in 29.62 s;61.06 s;;;;;0 reps;;;1 rep;;;;;;;;;;;;;;;;;;;;107.5 m;;;;61.03 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;54.34 s;3 in 23.97 s;52.03 s;;;;;6 reps;;;0 reps;;;;;;;;;;;;;;;;;;;;70.35 m;;;;69.35 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;70 m;Withdrew;Withdrew;;;;;Withdrew;;;1 rep;;;;;;;;;;;;;;;;;;;;Withdrew;;;;51.96 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;30.31 s;5 in 33.61 s;;;;;;6 in 33.89 s;;;;;;;;;;;;;;;;;50.65 s;;;;;;;4 in 46.59 s;;;;;;23.41 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.78 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;35.53 s;5 in 36.00 s;;;;;;6 in 35.34 s;;;;;;;;;;;;;;;;;36.03 s;;;;;;;4 in 47.43 s;;;;;;23.90 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.53 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;28.62 s;4 in 39.03 s;;;;;;2 in 14.62 s;;;;;;;;;;;;;;;;;44.68 s;;;;;;;4 in 48.93 s;;;;;;26.34 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.18 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;29.34 s;4 in 32.00 s;;;;;;5 in 27.19 s;;;;;;;;;;;;;;;;;47.65 s;;;;;;;4 in 52.65 s;;;;;;31.72 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.84 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;45.91 s;5 in 32.42 s;;;;;;3 in 18.86 s;;;;;;;;;;;;;;;;;41.49 s;;;;;;;3 in 30.83 s;;;;;;28.45 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.46 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;33.25 s;4 in 30.15 s;;;;;;6 in 36.58 s;;;;;;;;;;;;;;;;;47.64 s;;;;;;;3 in 35.15 s;;;;;;25.7 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.37 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;34.04 s;5 in 38.34 s;;;;;;5 in 34.77 s;;;;;;;;;;;;;;;;;31.19 s;;;;;;;3 in 22.08 s;;;;;;32.78 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.81 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;57.29 s;5 in 34.53 s;;;;;;4 in 30.45 s;;;;;;;;;;;;;;;;;59.40 s;;;;;;;2 in 16.22 s;;;;;;37.28 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.78 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;42.69 s;5 in 46.29 s;;;;;;6 in 39.77 s;;;;;;;;;;;;;;;;;33.83 s;;;;;;;3 in 43.96 s;;;;;;29.75 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.15 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;65.93 s;4 in 22.50 s;;;;;;3 in 20.68 s;;;;;;;;;;;;;;;;;38.67 s;;;;;;;2 in 14.87 s;;;;;;33.56 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.71 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 27.43 s;39.90 s;;;;;6 in 70.89 s;;;6 in 29.72 s;;;29.43 s;;;;66.65 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13 in 74.95 s;;;;;;;;;;;;;;;;;15.03 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 32.32 s;39.16 s;;;;;7 in 40.92 s;;;7 in 33.13 s;;;35.03 s;;;;66.93 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14 in 69.23 s;;;;;;;;;;;;;;;;;20.80 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 43.77 s;36.53 s;;;;;1 in 27.99 s;;;2 in 10.67 s;;;32.34 s;;;;59.71 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13 in 74.80 s;;;;;;;;;;;;;;;;;14.9 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;4 in 31.89 s;43.59 s;;;;;9 in 56.99 s;;;5 in 30.82 s;;;42.37 s;;;;24.1 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 29.58 s;;;;;;;;;;;;;;;;;44.12 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;Withdrew;Withdrew;;;;;5 in 51.30 s;;;1 in 3.43 s;;;44.56 s;;;;Withdrew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7 in 48.80 s;;;;;;;;;;;;;;;;;24.37 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 27.13 s;41.43 s;;;;;10 in 73.74 s;;;5 in 24.38 s;;;35.56 s;;;;66.04 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11 in 56.42 s;;;;;;;;;;;;;;;;;16.30 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 27.49 s;;;;;13 reps;;;;7 in 27.53 s;;;;;;;;;;;;;;48.80 s;;;;;;;;;;;;;;;;;5 in 51.64 s;;;;;;;;;;;;;;;;;;;;;;;;;;;15.29 s;90 m;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 46.33 s;;;;;12 reps;;;;5 in 22.49 s;;;;;;;;;;;;;;44.88 s;;;;;;;;;;;;;;;;;5 in 34.27 s;;;;;;;;;;;;;;;;;;;;;;;;;;;20.73 s;62.9 m;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 47.21 s;;;;;10 reps;;;;7 in 30.77 s;;;;;;;;;;;;;;36.17 s;;;;;;;;;;;;;;;;;5 in 38.24 s;;;;;;;;;;;;;;;;;;;;;;;;;;;16.28 s;21 m;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;0 in 75.00 s;;;;;9 reps;;;;6 in 29.99 s;;;;;;;;;;;;;;41.18 s;;;;;;;;;;;;;;;;;5 in 38.28 s;;;;;;;;;;;;;;;;;;;;;;;;;;;19.59 s;68.5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;4 in 29.61 s;;;;;8 reps;;;;6 in 27.93 s;;;;;;;;;;;;;;44.40 s;;;;;;;;;;;;;;;;;5 in 45.24 s;;;;;;;;;;;;;;;;;;;;;;;;;;;20.90 s;77.5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 30.44 s;;;;;7 reps;;;;3 in 14.04 s;;;;;;;;;;;;;;71.12 s;;;;;;;;;;;;;;;;;5 in 59.06 s;;;;;;;;;;;;;;;;;;;;;;;;;;;48.09 s;77 m;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;4 in 42.45 s;;;;;9 reps;;;;7 in 38.08 s;;;;;;;;;;;;;;54.15 s;;;;;;;;;;;;;;;;;4 in 41.30 s;;;;;;;;;;;;;;;;;;;;;;;;;;;21.15 s;48.6 m;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;4 in 28.25 s;;;;;8 reps;;;;5 in 26.40 s;;;;;;;;;;;;;;56.01 s;;;;;;;;;;;;;;;;;5 in 39.43 s;;;;;;;;;;;;;;;;;;;;;;;;;;;30.35 s;45.2 m;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 36.46 s;;;;;5 reps;;;;4 in 22.94 s;;;;;;;;;;;;;;45.11 s;;;;;;;;;;;;;;;;;5 in 42.77 s;;;;;;;;;;;;;;;;;;;;;;;;;;;25.09 s;65.5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;;;5 in 41.12 s;;;;;8 reps;;;;4 in 21.64 s;;;;;;;;;;;;;;41.97 s;;;;;;;;;;;;;;;;;5 in 44.15 s;;;;;;;;;;;;;;;;;;;;;;;;;;;13.2 m;69 m;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;26.88 s;;5 in 25.72 s;;;;;;12 reps;;;;;38.60 s;;;;;;;;;;;;;4 in 83.27 s;;;;;;;;16.9 m;;;;;;;;5 in 31.92 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;27.40 s;;4 in 17.76 s;;;;;;16 reps;;;;;26.33 s;;;;;;;;;;;;;2 in 16.17 s;;;;;;;;16.78 m;;;;;;;;5 in 53.86 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;47.99 s;;5 in 68.80 s;;;;;;1 rep;;;;;34.72 s;;;;;;;;;;;;;2 in 22.31 s;;;;;;;;11.6 m;;;;;;;;5 in 34.17 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;20.1 m;;4 in 23.08 s;;;;;;16 reps;;;;;35.05 s;;;;;;;;;;;;;2 in 46.46 s;;;;;;;;13.1 m;;;;;;;;4 in 33.79 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;12.9 m;;5 in 27.56 s;;;;;;9 reps;;;;;34.19 s;;;;;;;;;;;;;2 in 50.13 s;;;;;;;;11 m;;;;;;;;5 in 46.15 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;36.93 s;;5 in 29.46 s;;;;;;8 reps;;;;;65.43 s;;;;;;;;;;;;;2 in 23.49 s;;;;;;;;5.6 m;;;;;;;;5 in 39.13 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;11.7 m;;4 in 25.35 s;;;;;;12 reps;;;;;46.97 s;;;;;;;;;;;;;0 in 90.00 s;;;;;;;;14.8 m;;;;;;;;5 in 43.33 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;22.9 m;;2 in 12.78 s;;;;;;13 reps;;;;;38.27 s;;;;;;;;;;;;;0 in 90.00 s;;;;;;;;11.25 m;;;;;;;;4 in 29.54 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;22.4 m;;4 in 35.70 s;;;;;;12 reps;;;;;79.88 s;;;;;;;;;;;;;2 in 28.58 s;;;;;;;;8.58 m;;;;;;;;5 in 56.83 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;47.88 s;;2 in 19.42 s;;;;;;8 reps;;;;;47.95 s;;;;;;;;;;;;;1 in 16.02 s;;;;;;;;9.6 m;;;;;;;;3 in 31.71 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;14.62 s;;5 in 31.09 s;41.53 s;;;;;10 reps;;;;;;;;;;4 in 37.22 s;;;;;;;;;;;;;;;;;;;;;;;;5 in 31.15 s;;;;;;;;;;15 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;20.01 s;;5 in 18.75 s;51.93 s;;;;;1 rep;;;;;;;;;;4 in 63.63 s;;;;;;;;;;;;;;;;;;;;;;;;5 in 30.92 s;;;;;;;;;;17 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;WSM Final;;;;;;;;;;;;;;;;;;;;;;;;19.50 s;;5 in 19.58 s;41.41 s;;;;;8 reps;;;;;;;;;;4 in 43.73 s;;;;;;;;;;;;;;;;;;;;;;;;5 in 40.36 s;;;;;;;;;;3 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
