year;competition_name;competitor;Apollon's Wheels;Max Deadlift;Hummer Push;Timber Carry;Medicine Ball Toss;Hammer Lift;Dumbbell Press;Weight Throw;Super Yoke;Manhood Stones;Austrian Oak;Bale Tote;Cyr Dumbbell;Bag Over Bar;Stone to Shoulder;Húsafell Stone;Wheel of Pain;Trial by Stone;Max Squat;Max Log Lift;Steintossen;Webster Stones;Stones of Strength;Car Walk;Farmer's Walk;Atlas Stones;Truck Pull;Natural Stones;Frame Carry;Stone Over Bar;Log Lift;Deadlift;Arm Over Arm Pull;Keg Toss;Squat Lift;Viking Press;Power Stairs;Medley;Axle Press;Tank Pull;Sack Carry;Loading Race;Boat Pull;Car Flip;Crucifix Hold;Bar Bend;Tug of War;Tire Flip;Hercules Hold;Rock Press;Conan's Wheel;Wheelbarrow Carry;Block Carry;Max Axle Press;Shield Carry;Overhead Medley;Front Hold;Bus Pull;Flip & Drag;Nicol Stones;Deadlift Ladder;Carry & Drag;Log Ladder;Load & Push;Deadlift Hold;Fingal's Fingers;Carry Medley;Log Medley;Africa Stone;Sled Pull;Keg Carry;Hip Lift;Carry & Flip;Cross Carry;Pole Push;Safe Lift;Dumbbell Medley;Max Stone Press;Vertical Lift;Cyr Dumbbell Ladder;Inver Stones;Rogue-a-Coaster;The Duel;Sandbag Toss;Leg Press;Medley #1;Chest Press;Medley #2;Flag Hoist;McGlashen Stones;Plane Pull;Train Pull;Fridge Carry;Ding Carry;Circus Barbell;Kettlebell Toss;Overhead Press;Giant's Medley;Titan's Turntable;Flintstone Barbell;Max Dumbbell;Basque Circle;Car Pull;Giant Farmer's Walk;Wrestling;Block Press;Norse Hammers;Load & Drag;Bullion Toss;Last Man Standing;Elephant Carry;Load & Carry;Circle of Strength;Loading Medley;Pickaxe Hold;Stone Off;Train Push;Wrecking Ball Hold;Deadlift Machine;Chain Railway Carriage;Axle Death-Lift
2022;Europe's Strongest Man;M. Lalas;;;;;;;;;;;;;;;;;;;;170.0;;;;;;17.98;;;;;;;;;;;32.67;;;;;;;;;;;;;;;;;;;;;;;;4.0;30.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Europe's Strongest Man;K. de Ruiter;;;;;;;;;;;;;;;;;;;;0.0;;;;;;30.6;;;;;;;;;;;35.56;;;;;;;;;;;;;;;;;;;;;;;;3.0;26.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Europe's Strongest Man;P. O'Dwyer;;;;;;;;;;;;;;;;;;;;0.0;;;;;;5.0;;;;;;;;;;;40.16;;;;;;;;;;;;;;;;;;;;;;;;3.0;29.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Europe's Strongest Man;G. Bilton;;;;;;;;;;;;;;;;;;;;170.0;;;;;;5.0;;;;;;;;;;;51.81;;;;;;;;;;;;;;;;;;;;;;;;3.0;42.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Europe's Strongest Man;R. Heinla;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;4.0;35.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;P. Kordiyaka;;;;;;;;;;;;;;;;;;;;;;;;;;21.76;;;;;;3.0;;;;;;;;;;;;;;;;;;;1009.0;;;;;;;;;;;;52.55;44.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;O. Novikov;;;;;;;;;;;;;;;;;;;;;;;;;;15.41;;;;;;9.0;;;;;;;;;;;;;;;;;;;897.0;;;;;;;;;;;;4.0;46.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;A. Šmaukstelis;;;;;;;;;;;;;;;;;;;;;;;;;;20.47;;;;;;7.0;;;;;;;;;;;;;;;;;;;710.0;;;;;;;;;;;;4.0;50.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;E. Ingólfsson Melsted;;;;;;;;;;;;;;;;;;;;;;;;;;21.77;;;;;;6.0;;;;;;;;;;;;;;;;;;;760.0;;;;;;;;;;;;4.0;54.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;A. Bishop;;;;;;;;;;;;;;;;;;;;;;;;;;26.32;;;;;;9.0;;;;;;;;;;;;;;;;;;;731.0;;;;;;;;;;;;2.0;49.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;S. Flowers;;;;;;;;;;;;;;;;;;;;;;;;;;22.73;;;;;;6.0;;;;;;;;;;;;;;;;;;;640.0;;;;;;;;;;;;2.0;50.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;P. O'Dwyer;;;;;;;;;;;;;;;;;;;;;;;;;;30.9;;;;;;7.0;;;;;;;;;;;;;;;;;;;733.0;;;;;;;;;;;;2.0;52.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;K. Janashia;;;;;;;;;;;;;;;;;;;;;;;;;;23.69;;;;;;3.0;;;;;;;;;;;;;;;;;;;363.0;;;;;;;;;;;;3.0;54.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;D. Kohlruss;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;640.0;;;;;;;;;;;;3.0;62.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;P. Smith;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;582.0;;;;;;;;;;;;3.0;52.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;G. Bilton;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;3.0;51.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;J. Coraboeuf;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;173.0;;;;;;;;;;;;3.0;55.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Europe's Strongest Man;G. Hicks;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ForÃ§a Bruta;B. Shaw;;;;;;;6.0;;10.9;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ForÃ§a Bruta;H. BjÃ¶rnsson;;;;;;;10.0;;11.41;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ForÃ§a Bruta;K. Radzikowski;;;;;;;8.0;;11.28;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ForÃ§a Bruta;M. Burke;;;;;;;7.0;;18.0;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ForÃ§a Bruta;M. Felix;;;;;;;1.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ForÃ§a Bruta;J. Pritchett;;;;;;;0.0;;24.0;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Força Bruta;B. Shaw;;;;;;;6.0;;10.9;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Força Bruta;H. Björnsson;;;;;;;10.0;;11.41;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Força Bruta;K. Radzikowski;;;;;;;8.0;;11.28;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Força Bruta;M. Burke;;;;;;;7.0;;18.0;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Força Bruta;M. Felix;;;;;;;1.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;Força Bruta;J. Pritchett;;;;;;;0.0;;24.0;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;ForÃ§a Bruta;Å½. Savickas;;;;;;;;;;;;;;;;;;;;223.0;;;;;;21.84;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;ForÃ§a Bruta;B. Shaw;;;;;;;;;;;;;;;;;;;;192.5;;;;;;19.05;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;ForÃ§a Bruta;H. BjÃ¶rnsson;;;;;;;;;;;;;;;;;;;;190.0;;;;;;22.69;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;ForÃ§a Bruta;L. NÃ¤mi;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;ForÃ§a Bruta;E. Katona;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;ForÃ§a Bruta;M. Burke;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;ForÃ§a Bruta;M. Ferrari;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;ForÃ§a Bruta;K. Radzikowski;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;ForÃ§a Bruta;D. Zageris;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;Força Bruta;Ž. Savickas;;;;;;;;;;;;;;;;;;;;223.0;;;;;;21.84;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;Força Bruta;B. Shaw;;;;;;;;;;;;;;;;;;;;192.5;;;;;;19.05;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;Força Bruta;H. Björnsson;;;;;;;;;;;;;;;;;;;;190.0;;;;;;22.69;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;Força Bruta;L. Nämi;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;Força Bruta;E. Katona;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;Força Bruta;M. Burke;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;Força Bruta;M. Ferrari;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;Força Bruta;K. Radzikowski;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;Força Bruta;D. Zageris;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;ForÃ§a Bruta;B. Shaw;;;;;;;;;;;;;;;;;;;;;;;;;;42.62;;;;;;;;11.0;;;;;;;;59.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;ForÃ§a Bruta;M. Wildauer;;;;;;;;;;;;;;;;;;;;;;;;;;61.78;;;;;;;;9.0;;;;;;;;50.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;ForÃ§a Bruta;K. Radzikowski;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;7.0;;;;;;;;56.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;ForÃ§a Bruta;D. Savatinov;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;4.0;;;;;;;;59.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Força Bruta;B. Shaw;;;;;;;;;;;;;;;;;;;;;;;;;;42.62;;;;;;;;11.0;;;;;;;;59.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Força Bruta;M. Wildauer;;;;;;;;;;;;;;;;;;;;;;;;;;61.78;;;;;;;;9.0;;;;;;;;50.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Força Bruta;K. Radzikowski;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;7.0;;;;;;;;56.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Força Bruta;D. Savatinov;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;4.0;;;;;;;;59.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;ForÃ§a Bruta;M. Kieliszkowski;;;;;;;;;;;;;;;;;;;;;;;;;;40.0;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;ForÃ§a Bruta;J. Hansson;;;;;;;;;;;;;;;;;;;;;;;;;;33.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;41.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;ForÃ§a Bruta;K. Radzikowski;;;;;;;;;;;;;;;;;;;;;;;;;;61.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;ForÃ§a Bruta;M. Ferrari;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Força Bruta;M. Kieliszkowski;;;;;;;;;;;;;;;;;;;;;;;;;;40.0;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Força Bruta;J. Hansson;;;;;;;;;;;;;;;;;;;;;;;;;;33.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;41.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Força Bruta;K. Radzikowski;;;;;;;;;;;;;;;;;;;;;;;;;;61.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Força Bruta;M. Ferrari;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;ForÃ§a Bruta;T. Hollands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;18.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;ForÃ§a Bruta;J. Hansson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;15.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;ForÃ§a Bruta;E. Small;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;19.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;ForÃ§a Bruta;M. Ferrari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;25.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Força Bruta;T. Hollands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;18.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Força Bruta;J. Hansson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;15.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Força Bruta;E. Small;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;19.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Força Bruta;M. Ferrari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;25.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;ForÃ§a Bruta;M. Shivlyakov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0;;;42.0;36.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;ForÃ§a Bruta;M. Kieliszkowski;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.0;;;14.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;ForÃ§a Bruta;T. Hollands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;51.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;ForÃ§a Bruta;J. Pritchett;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;6.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Força Bruta;M. Shivlyakov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0;;;42.0;36.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Força Bruta;M. Kieliszkowski;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.0;;;14.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Força Bruta;T. Hollands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;51.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Força Bruta;J. Pritchett;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;6.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;ForÃ§a Bruta;M. Shivlyakov;;;;;;;;;;;;;;;;;;;;;;;;;;;23.16;;;;;;;39.0;;;;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;ForÃ§a Bruta;R. Heinla;;;;;;;;;;;;;;;;;;;;;;;;;;;31.24;;;;;;;7.0;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;ForÃ§a Bruta;C. Quiroga;;;;;;;;;;;;;;;;;;;;;;;;;;;33.18;;;;;;;4.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;ForÃ§a Bruta;T. Aparecido;;;;;;;;;;;;;;;;;;;;;;;;;;;45.71;;;;;;;2.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Força Bruta;M. Shivlyakov;;;;;;;;;;;;;;;;;;;;;;;;;;;23.16;;;;;;;39.0;;;;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
