year;competition_name;competitor;Apollon's Wheels;Max Deadlift;Hummer Push;Timber Carry;Medicine Ball Toss;Hammer Lift;Dumbbell Press;Weight Throw;Super Yoke;Manhood Stones;Austrian Oak;Bale Tote;Cyr Dumbbell;Bag Over Bar;Stone to Shoulder;Húsafell Stone;Wheel of Pain;Trial by Stone;Max Squat;Max Log Lift;Steintossen;Webster Stones;Stones of Strength;Car Walk;Farmer's Walk;Atlas Stones;Truck Pull;Natural Stones;Frame Carry;Stone Over Bar;Log Lift;Deadlift;Arm Over Arm Pull;Keg Toss;Squat Lift;Viking Press;Power Stairs;Medley;Axle Press;Tank Pull;Sack Carry;Loading Race;Tire Flip;Hercules Hold;Rock Press;Conan's Wheel;Crucifix Hold;Wheelbarrow Carry;Block Carry;Max Axle Press;Shield Carry;Overhead Medley;Front Hold;Bus Pull;Flip & Drag;Nicol Stones;Deadlift Ladder;Carry & Drag;Deadlift Hold;Fingal's Fingers;Carry Medley;Log Medley;Africa Stone;Sled Pull;Keg Carry;Hip Lift;Carry & Flip;Cross Carry;Pole Push;Safe Lift;Dumbbell Medley;Cyr Dumbbell Ladder;Inver Stones;Rogue-a-Coaster;The Duel;Leg Press;Medley #1;Chest Press;Medley #2;Flag Hoist;McGlashen Stones;Car Flip;Tug of War;Plane Pull;Vertical Lift;Train Pull;Fridge Carry;Ding Carry;Circus Barbell;Kettlebell Toss;Overhead Press;Giant's Medley;Log Ladder;Titan's Turntable;Flintstone Barbell;Max Dumbbell;Basque Circle;Car Pull;Giant Farmer's Walk;Wrestling;Block Press;Norse Hammers;Load & Drag;Bullion Toss;Last Man Standing;Elephant Carry;Load & Carry;Circle of Strength;Loading Medley;Pickaxe Hold;Stone Off;Train Push;Wrecking Ball Hold;Deadlift Machine;Chain Railway Carriage;Axle Death-Lift
2022;Giants Live World Tour Finals;P. Kordiyaka;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;s;;;;;;;;;;;;;;;;;;;m;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Giants Live World Tour Finals;R. Heinla;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;s;;;;;;;;;;;;;;;;;;;m;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Giants Live World Tour Finals;P. Smith;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;s;;;;;;;;;;;;;;;;;;;m;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Giants Live World Tour Finals;P. O'Dwyer;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;reps;;;;;;;;;;;;;;;;;;;m;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Giants Live World Tour Finals;E. Williams;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;reps;;;;;;;;;;;;;;;;;;;m;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Giants Live World Tour Finals;M. Felix;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;reps;;;;;;;;;;;;;;;;;;;m;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Giants Live World Tour Finals;A. Black;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;reps;;;;;;;;;;;;;;;;;;;m;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;Giants Live World Tour Finals;L. Jack;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;reps;;;;;;;;;;;;;;;;;;;m;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Rogue Invitational;M. Licis;;kg;;;;;;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Rogue Invitational;T. Stoltman;;kg;;;;;;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Rogue Invitational;O. Novikov;;kg;;;;;;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Rogue Invitational;M. Kieliszkowski;;;;;;;;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Rogue Invitational;J. Caron;;kg;;;;;;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Rogue Invitational;R. Kearney;;kg;;;;;;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Rogue Invitational;B. Shaw;;kg;;;;;;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Rogue Invitational;L. Stoltman;;kg;;;;;;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Rogue Invitational;M. Shivlyakov;;;;;;;;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Rogue Invitational;J. Pritchett;;kg;;;;;;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Rogue Invitational;M. Hooper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m;;;;;;;;;;s;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Rogue Invitational;T. Stoltman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m;;;;;;;;;;s;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Rogue Invitational;M. Kieliszkowski;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s;;;;;;;;;;s;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Rogue Invitational;E. Singleton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m;;;;;;;;;;s;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Rogue Invitational;B. Thompson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m;;;;;;;;;;s;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Rogue Invitational;M. Boudreault;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m;;;;;;;;;;s;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Rogue Invitational;T. Evans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m;;;;;;;;;;s;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Rogue Invitational;L. Stoltman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m;;;;;;;;;;m;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Rogue Invitational;O. Novikov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m;;;;;;;;;;s;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;Rogue Invitational;T. Mitchell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
