year;competition_name;event_name;distance;time_limit;main_measurement_unit;second_measurement_unit;min_weight;max_weight;weights;deadlift;attempts;max_lifts;lifts_num;implements_num;implements
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Car Walk;;;s;m;;;;;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;;reps;;90.0;90.0;[90.0];;;;;;
2020;Arnold Strongman Classic;Farmer's Walk;;;s;m;;;;;;;;;
2020;Arnold Strongman Classic;Max Log Lift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;s;reps;;;;;;4;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Farmer's Walk;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Super Yoke;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Truck Pull;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;;reps;;115.0;115.0;[115.0];;;;;;
2020;Arnold Strongman Classic;Super Yoke;15.0;;s;;500.0;500.0;[500.0];;;;;;
2020;Arnold Strongman Classic;Max Log Lift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Truck Pull;;;s;;;;;;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;s;reps;;;;;;5;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;18-inch axle deadlift;;1;;1;
2020;Arnold Strongman Classic;Farmer's Walk;40.0;;s;m;150.0;150.0;[150.0];;;;;;
2020;Arnold Strongman Classic;Super Yoke;20.0;;s;m;454.0;454.0;[454.0];;;;;;
2020;Arnold Strongman Classic;Natural Stones;;;s;reps;120.0;190.0;[120.0, 190.0];;;4;;4.0;
2020;Arnold Strongman Classic;Max Log Lift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Truck Pull;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Frame Carry;25.0;;;;370.0;370.0;[370.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Super Yoke;;;;;460.0;460.0;[460.0];;;;;;
2020;Arnold Strongman Classic;Stone Over Bar;;;reps;;180.0;180.0;[180.0];;;;;;
2020;Arnold Strongman Classic;Log Lift;;;reps;;190.0;190.0;[190.0];;;;;;
2020;Arnold Strongman Classic;Super Yoke;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Log Lift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Frame Carry;;;s;;380.0;380.0;[380.0];;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Truck Pull;;;s;;;;;;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;s;;160.0;220.0;[160.0, 220.0];;;5.0;;5.0;
2020;Arnold Strongman Classic;Log Lift;;60.0;reps;;180.0;180.0;[180.0];;;;;;
2020;Arnold Strongman Classic;Frame Carry;25.0;;s;m;400.0;400.0;[400.0];;;;;;
2020;Arnold Strongman Classic;Super Yoke;25.0;;s;m;455.0;455.0;[455.0];;;;;;
2020;Arnold Strongman Classic;Deadlift;;60.0;reps;;365.0;365.0;[365.0];;;;;;
2020;Arnold Strongman Classic;Arm Over Arm Pull;;;s;m;;;;;;;;;
2020;Arnold Strongman Classic;Deadlift;;;reps;;;;;Car deadlift, side handles;;;;;[]
2020;Arnold Strongman Classic;Dumbbell Press;;75.0;reps;;102.0;102.0;[102.0];;;;;;
2020;Arnold Strongman Classic;Keg Toss;4.88;;s;reps;18.0;25.0;[18.0, 25.0];;;8;;1;['']
2020;Arnold Strongman Classic;Squat Lift;;;reps;;320.0;320.0;[320.0];;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;s;reps;104.0;181.0;[104.0, 181.0];;;5;;5.0;
2020;Arnold Strongman Classic;Truck Pull;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Viking Press;;;reps;;;;;;;;;;
2020;Arnold Strongman Classic;Farmer's Walk;;;;s;;;;;;;;;
2020;Arnold Strongman Classic;Power Stairs;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Medley;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Deadlift;;;reps;;360.0;360.0;[360.0];Car deadlift;;;;;
2020;Arnold Strongman Classic;Super Yoke;24.0;;s;m;450.0;550.0;[450.0, 550.0];;;;;2;['', '']
2020;Arnold Strongman Classic;Arm Over Arm Pull;;;s;;;;;;;;;;
2020;Arnold Strongman Classic;Farmer's Walk;20.0;;s;m;185.0;185.0;[185.0];;;;;;
2020;Arnold Strongman Classic;Stone Over Bar;;;reps;;220.0;220.0;[220.0];;;;;;
2020;Arnold Strongman Classic;Axle Press;;;reps;;180.0;180.0;[180.0];;;;;;
2020;Arnold Strongman Classic;Squat Lift;;;reps;;320.0;320.0;[320.0];;;;;;
2020;Arnold Strongman Classic;Log Lift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;17-inch frame deadlift;;;;;
2020;Arnold Strongman Classic;Tank Pull;10.0;;s;m;8000.0;8000.0;[8000.0];;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;;;170.0;230.0;[170.0, 230.0];;;5.0;;5.0;
2020;Arnold Strongman Classic;Log Lift;;60.0;reps;;180.0;180.0;[180.0];;;;;;
2020;Arnold Strongman Classic;Super Yoke;25.0;;s;;455.0;455.0;[455.0];;;;;;
2020;Arnold Strongman Classic;Frame Carry;25.0;;m;;400.0;400.0;[400.0];;;;;;
2020;Arnold Strongman Classic;Deadlift;;60.0;reps;;365.0;365.0;[365.0];;;;;;
2020;Arnold Strongman Classic;Arm Over Arm Pull;;;s;m;;;;;;;;;
2020;Arnold Strongman Classic;Farmer's Walk;;;;;170.0;170.0;[170.0];;;;;;
2020;Arnold Strongman Classic;Log Lift;;60.0;reps;;175.0;175.0;[175.0];;;;;;
2020;Arnold Strongman Classic;Bag Over Bar;4.8;;;;15.0;30.0;[15.0, 30.0];;;4.0;;1;['']
2020;Arnold Strongman Classic;Deadlift;;;reps;;370.0;370.0;[370.0];;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;;;130.0;180.0;[130.0, 180.0];;;6.0;;6.0;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Farmer's Walk;20.0;;s;m;180.0;180.0;[180.0];;;;;;
2020;Arnold Strongman Classic;Truck Pull;;;s;;;;;;;;;;
