Year;Comp name;#;Competitor;Country;TOT. PTS;Pts;Pts.1;Pts.2;Pts.3;Pts.4;Pts.5;Pts.6;Pts.7;Pts.8;Pts.9;Pts.10
2018;Arnold Strongman Classic;6;J. Pritchett;USA;24.0;3.0;1.5;10.0;7.0;2.5;;;;;;
2018;Arnold Strongman Classic;8;R. Heinla;EST;22.5;4.0;4.5;1.0;5.0;8.0;;;;;;
2018;Arnold Strongman Classic;9;D. Savatinov;BUL;18.5;1.5;3.0;4.0;4.0;6.0;;;;;;
2018;Arnold Strongman Classic;10;M. Ostaszewski;POL;10.5;1.5;1.5;3.0;0.0;4.5;;;;;;
2019;Arnold Strongman Classic;1;H. BjÃ¶rnsson;ISL;45.0;10.0;10.0;9.0;8.5;7.5;;;;;;
2019;Arnold Strongman Classic;2;M. Licis;USA;40.5;6.0;7.0;10.0;8.5;9.0;;;;;;
2019;Arnold Strongman Classic;3;M. Kieliszkowski;POL;31.5;3.0;6.0;4.0;8.5;10.0;;;;;;
2019;Arnold Strongman Classic;4;M. Shivlyakov;RUS;30.5;7.5;4.0;6.0;8.5;4.5;;;;;;
2019;Arnold Strongman Classic;5;M. BelÅ¡ak;SLO;28.0;4.0;5.0;7.0;4.5;7.5;;;;;;
2019;Arnold Strongman Classic;6;R. Heinla;EST;27.0;5.0;8.0;5.0;4.5;4.5;;;;;;
2019;Arnold Strongman Classic;7;O. Novikov;UKR;25.0;2.0;9.0;8.0;0.0;6.0;;;;;;
2019;Arnold Strongman Classic;8;B. Shaw;USA;21.0;9.0;3.0;3.0;6.0;0.0;;;;;;
2019;Arnold Strongman Classic;9;J. Pritchett;USA;14.5;7.5;2.0;2.0;3.0;0.0;;;;;;
2019;Arnold Strongman Classic;10;J. Caron;CAN;1.0;1.0;0.0;0.0;0.0;0.0;;;;;;
2020;Arnold Strongman Classic;1;H. BjÃ¶rnsson;ISL;52.5;9.0;10.0;8.0;10.0;7.0;8.5;;;;;
