Year;Comp name;#;Competitor;Country;TOT. PTS;Pts;Pts.1;Pts.2;Pts.3;Pts.4;Pts.5;Pts.6;Pts.7;Pts.8;Pts.9;Pts.10
2005;WSM Final;6;T. Mitt;EST;34.0;2.0;10.0;2.0;2.0;1.0;8.0;9.0;;;;
2005;WSM Final;7;R. Ber;AUT;33.5;1.0;8.0;5.0;6.5;8.0;3.0;2.0;;;;
2005;WSM Final;8;D. Pope;USA;33.0;7.0;9.0;3.0;4.0;4.0;2.0;4.0;;;;
2005;WSM Final;9;D. Ostlund;USA;32.0;6.0;6.0;4.0;1.0;2.0;5.0;8.0;;;;
2005;WSM Final;10;E. Nigmatullin;RUS;30.0;5.0;3.0;1.0;4.0;3.0;7.0;7.0;;;;
2006;WSM Final;1;P. Pfister;USA;61.0;6.0;5.0;10.0;10.0;10.0;10.0;10.0;;;;
2006;WSM Final;2;M. Pudzianowski;POL;57.5;9.5;10.0;9.0;5.0;9.0;9.0;6.0;;;;
2006;WSM Final;3;D. Pope;USA;45.0;1.0;8.0;8.0;9.0;6.0;6.0;7.0;;;;
2006;WSM Final;4;M. Felix;GRN;38.5;9.5;7.0;5.0;2.0;7.0;3.0;5.0;;;;
2006;WSM Final;5;T. Mitt;EST;38.0;4.0;9.0;4.0;6.0;4.0;2.0;9.0;;;;
2006;WSM Final;6;S. Wenta;POL;36.5;2.5;2.0;7.0;8.0;1.0;8.0;8.0;;;;
2006;WSM Final;7;T. Hollands;ENG;30.0;6.0;4.0;0.0;7.0;8.0;1.0;4.0;;;;
2006;WSM Final;8;J. Dymek;POL;29.0;8.0;6.0;0.0;3.0;5.0;5.0;2.0;;;;
2006;WSM Final;9;R. Vidzis;LAT;26.0;6.0;1.0;6.0;4.0;2.0;4.0;3.0;;;;
2006;WSM Final;10;S. Toczek;POL;20.5;2.5;3.0;3.0;1.0;3.0;7.0;1.0;;;;
2007;WSM Final;1;M. Pudzianowski;POL;59.0;10.0;9.0;9.0;9.0;9.0;10.0;3.0;;;;
2007;WSM Final;2;S. Wenta;POL;54.0;6.0;10.0;10.0;3.0;7.0;8.0;10.0;;;;
2007;WSM Final;3;T. Hollands;ENG;52.0;9.0;3.0;4.0;8.0;10.0;9.0;9.0;;;;
2007;WSM Final;4;P. Pfister;USA;46.0;7.0;8.0;8.0;4.0;6.0;6.0;7.0;;;;
2007;WSM Final;5;M. Samuelsson;SWE;39.0;5.0;7.0;5.0;5.0;8.0;4.0;5.0;;;;
2007;WSM Final;6;D. Ostlund;USA;38.0;8.0;2.0;7.0;6.0;4.0;3.0;8.0;;;;
2007;WSM Final;7;M. Felix;ENG;33.5;2.0;4.5;3.0;10.0;3.0;7.0;4.0;;;;
2007;WSM Final;8;K. Nee;USA;31.0;3.0;6.0;2.0;7.0;2.0;5.0;6.0;;;;
2007;WSM Final;9;D. Pope;USA;21.5;4.0;4.5;6.0;0.0;5.0;2.0;0.0;;;;
2007;WSM Final;10;T. Mitt;EST;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
2008;WSM Final;1;M. Pudzianowski;POL;58.5;10.0;6.0;6.0;9.5;9.0;10.0;8.0;;;;
2008;WSM Final;2;D. Poundstone;USA;53.5;9.0;8.0;7.0;9.5;10.0;8.0;2.0;;;;
2008;WSM Final;3;D. Ostlund;USA;49.5;8.0;9.0;10.0;7.5;2.0;4.0;9.0;;;;
2008;WSM Final;4;P. Pfister;USA;44.5;6.5;10.0;9.0;2.0;4.0;9.0;4.0;;;;
2008;WSM Final;5;T. Ortmayer;USA;39.5;4.0;7.0;5.0;7.5;6.0;3.0;7.0;;;;
2008;WSM Final;6;S. Wenta;POL;38.0;4.0;5.0;8.0;2.0;8.0;5.0;6.0;;;;
2008;WSM Final;7;T. Mitt;EST;30.5;6.5;2.0;1.0;4.0;6.0;6.0;5.0;;;;
2008;WSM Final;8;A. Haugen;NOR;26.0;4.0;1.0;2.0;5.0;3.0;1.0;10.0;;;;
2008;WSM Final;9;J. Bergmann;USA;25.0;2.0;4.0;4.0;6.0;6.0;2.0;1.0;;;;
2008;WSM Final;10;T. Hollands;ENG;19.0;1.0;3.0;3.0;2.0;0.0;7.0;3.0;;;;
2009;WSM Final;1;Å½. Savickas;LTU;58.0;10.0;7.0;9.0;10.0;3.0;10.0;9.0;;;;
2009;WSM Final;2;M. Pudzianowski;POL;53.0;5.0;10.0;6.0;8.5;9.0;8.5;6.0;;;;
2009;WSM Final;3;B. Shaw;USA;49.0;8.0;4.0;7.5;6.0;10.0;6.5;7.0;;;;
2009;WSM Final;4;D. Poundstone;USA;46.0;6.0;9.0;5.0;8.5;4.0;8.5;5.0;;;;
2009;WSM Final;5;T. Ortmayer;USA;45.5;7.0;1.0;7.5;7.0;8.0;5.0;10.0;;;;
2009;WSM Final;6;T. Hollands;ENG;41.0;3.0;5.0;10.0;1.5;7.0;6.5;8.0;;;;
2009;WSM Final;7;P. Pfister;USA;28.5;4.0;6.0;4.0;4.5;6.0;0.0;4.0;;;;
2009;WSM Final;8;D. Ostlund;USA;25.0;9.0;2.0;3.0;3.0;2.0;3.0;3.0;;;;
2009;WSM Final;9;L. Shahlaei;ENG;23.5;2.0;8.0;2.0;1.5;5.0;4.0;1.0;;;;
2009;WSM Final;10;L. Jean;CAN;14.5;1.0;3.0;1.0;4.5;1.0;2.0;2.0;;;;
2010;WSM Final;1;Å½. Savickas;LTU;51.5;5.0;9.0;10.0;10.0;9.5;8.0;;;;;
2010;WSM Final;2;B. Shaw;USA;51.5;8.0;10.0;7.0;7.0;9.5;10.0;;;;;
2010;WSM Final;3;M. Koklyaev;RUS;46.0;9.0;7.0;9.0;6.0;8.0;7.0;;;;;
2010;WSM Final;4;S. PÃ©tursson;ISL;33.0;1.0;6.0;6.0;8.0;3.0;9.0;;;;;
2010;WSM Final;5;T. Ortmayer;USA;30.5;10.0;8.0;3.0;2.0;5.5;2.0;;;;;
2010;WSM Final;6;N. Best;USA;27.0;3.0;2.0;3.0;9.0;7.0;3.0;;;;;
2010;WSM Final;7;E. Katona;SRB;25.0;7.0;5.0;3.0;5.0;4.0;1.0;;;;;
2010;WSM Final;8;T. Hollands;ENG;24.5;4.0;3.0;3.0;4.0;5.5;5.0;;;;;
2010;WSM Final;9;D. Poundstone;USA;22.0;2.0;4.0;8.0;3.0;1.0;4.0;;;;;
2010;WSM Final;10;J. Bergmann;USA;19.0;6.0;1.0;3.0;1.0;2.0;6.0;;;;;
2011;WSM Final;1;B. Shaw;USA;50.0;7.0;9.0;9.0;8.5;6.5;10.0;;;;;
2011;WSM Final;2;Å½. Savickas;LTU;48.0;6.0;6.0;8.0;10.0;10.0;8.0;;;;;
2011;WSM Final;3;T. Hollands;ENG;42.0;5.0;8.0;7.0;8.5;6.5;7.0;;;;;
2011;WSM Final;4;L. Shahlaei;ENG;36.5;9.0;7.0;6.0;6.5;5.0;3.0;;;;;
2011;WSM Final;5;D. Poundstone;USA;32.0;3.0;5.0;5.0;6.5;8.5;4.0;;;;;
2011;WSM Final;6;H. BjÃ¶rnsson;ISL;29.5;1.0;3.0;10.0;2.5;4.0;9.0;;;;;
2011;WSM Final;6;V. Lalas;LTU;29.5;4.0;4.0;3.0;5.0;8.5;5.0;;;;;
2011;WSM Final;8;M. Jenkins;USA;26.5;10.0;10.0;4.0;2.5;0.0;0.0;;;;;
2011;WSM Final;9;S. PÃ©tursson;ISL;22.5;8.0;2.0;1.0;2.5;3.0;6.0;;;;;
2011;WSM Final;10;E. Katona;SRB;7.5;2.0;1.0;2.0;2.5;0.0;0.0;;;;;
2012;WSM Final;1;Å½. Savickas;LTU;49.0;4.0;10.0;7.0;10.0;9.0;9.0;;;;;
2012;WSM Final;2;V. Lalas;LTU;44.5;9.0;7.0;8.0;8.5;8.0;4.0;;;;;
2012;WSM Final;3;H. BjÃ¶rnsson;ISL;42.5;5.0;4.5;9.0;4.0;10.0;10.0;;;;;
2012;WSM Final;4;B. Shaw;USA;40.0;10.0;4.5;6.0;6.5;6.0;7.0;;;;;
2012;WSM Final;5;M. Jenkins;USA;38.5;8.0;8.5;5.0;2.0;7.0;8.0;;;;;
2012;WSM Final;6;K. Radzikowski;POL;32.5;7.0;8.5;2.0;5.0;5.0;5.0;;;;;
2012;WSM Final;7;T. Hollands;ENG;28.5;6.0;2.0;10.0;8.5;2.0;0.0;;;;;
2012;WSM Final;8;J. Caron;CAN;21.5;2.0;0.0;3.0;6.5;4.0;6.0;;;;;
2012;WSM Final;9;J. Ã…rsjÃ¶;SWE;19.5;3.0;4.5;4.0;2.0;3.0;3.0;;;;;
2012;WSM Final;10;E. Katona;SRB;9.5;1.0;4.5;1.0;2.0;1.0;0.0;;;;;
2013;WSM Final;1;B. Shaw;USA;51.0;6.0;9.0;10.0;10.0;7.0;9.0;;;;;
2013;WSM Final;2;Å½. Savickas;LTU;48.0;5.0;7.0;9.0;9.0;10.0;8.0;;;;;
2013;WSM Final;3;H. BjÃ¶rnsson;ISL;42.0;7.0;10.0;5.0;7.0;3.0;10.0;;;;;
2013;WSM Final;4;M. Jenkins;USA;41.0;10.0;4.0;6.0;7.0;8.0;6.0;;;;;
2013;WSM Final;5;M. Burke;USA;38.5;9.0;5.0;4.0;4.5;9.0;7.0;;;;;
2013;WSM Final;6;V. Lalas;LTU;34.0;4.0;6.0;7.0;7.0;6.0;4.0;;;;;
2013;WSM Final;7;T. Hollands;ENG;31.5;8.0;8.0;8.0;4.5;0.0;3.0;;;;;
2013;WSM Final;8;J. Ã…rsjÃ¶;SWE;16.0;1.0;3.0;2.0;0.0;5.0;5.0;;;;;
2013;WSM Final;9;R. Oberst;USA;14.0;3.0;2.0;3.0;0.0;4.0;2.0;;;;;
2013;WSM Final;10;M. Koklyaev;RUS;2.0;2.0;0.0;0.0;0.0;0.0;0.0;;;;;
2014;WSM Final;1;Å½. Savickas;LTU;64.0;11.0;12.0;9.0;9.0;12.0;11.0;;;;;
2014;WSM Final;2;H. BjÃ¶rnsson;ISL;63.5;12.0;11.0;12.0;11.0;5.5;12.0;;;;;
2014;WSM Final;3;B. Shaw;USA;61.0;9.0;10.0;11.0;12.0;9.0;10.0;;;;;
2014;WSM Final;4;M. Burke;USA;46.0;10.0;9.0;10.0;7.0;4.0;6.0;;;;;
2014;WSM Final;5;T. Hollands;ENG;38.0;6.0;4.0;6.0;10.0;3.0;9.0;;;;;
2014;WSM Final;6;E. Hall;ENG;32.0;1.0;7.0;6.0;3.0;11.0;4.0;;;;;
2014;WSM Final;6;D. Ostlund;USA;32.0;8.0;0.0;6.0;8.0;2.0;8.0;;;;;
2014;WSM Final;8;W. Brant;AUS;28.5;4.0;5.0;6.0;1.0;7.5;5.0;;;;;
2014;WSM Final;9;J. Pritchett;USA;26.0;5.0;0.0;2.0;2.0;10.0;7.0;;;;;
2014;WSM Final;10;L. Shahlaei;ENG;25.5;2.0;8.0;2.0;5.0;7.5;1.0;;;;;
2014;WSM Final;11;J. Caron;CAN;22.5;3.0;6.0;2.0;4.0;5.5;2.0;;;;;
2014;WSM Final;12;M. Wildauer;AUT;22.0;7.0;0.0;6.0;6.0;0.0;3.0;;;;;
2015;WSM Final;1;B. Shaw;USA;53.0;9.0;10.0;10.0;8.0;6.0;10.0;;;;;
2015;WSM Final;2;Å½. Savickas;LTU;49.5;8.0;6.5;9.0;10.0;10.0;6.0;;;;;
2015;WSM Final;3;H. BjÃ¶rnsson;ISL;49.0;10.0;8.0;8.0;9.0;6.0;8.0;;;;;
2015;WSM Final;4;E. Hall;GBR;45.5;7.0;9.0;7.0;5.0;8.5;9.0;;;;;
2015;WSM Final;5;M. Burke;USA;34.5;6.0;2.5;6.0;7.0;6.0;7.0;;;;;
2015;WSM Final;6;J. Caron;CAN;31.0;5.0;6.5;5.0;6.0;3.5;5.0;;;;;
2015;WSM Final;7;D. Savatinov;BUL;22.0;4.0;2.5;3.0;1.0;8.5;3.0;;;;;
2015;WSM Final;8;M. Felix;GBR;17.5;3.0;4.5;2.0;4.0;0.0;4.0;;;;;
2015;WSM Final;9;M. Shivlyakov;RUS;13.0;1.0;0.0;4.0;2.5;3.5;2.0;;;;;
2015;WSM Final;10;J. Pritchett;USA;10.0;2.0;4.5;1.0;2.5;0.0;0.0;;;;;
2016;WSM Final;1;B. Shaw;USA;53.0;8.0;7.5;9.5;9.0;10.0;9.0;;;;;
2016;WSM Final;2;H. BjÃ¶rnsson;ISL;51.0;6.0;9.5;6.5;10.0;9.0;10.0;;;;;
2016;WSM Final;3;E. Hall;GBR;43.0;1.0;9.5;9.5;8.0;7.0;8.0;;;;;
2016;WSM Final;4;K. Janashia;GEO;40.0;9.0;7.5;6.5;7.0;6.0;4.0;;;;;
2016;WSM Final;5;J. Caron;CAN;29.5;3.0;3.5;8.0;2.0;8.0;5.0;;;;;
2016;WSM Final;6;M. Licis;USA;28.5;7.0;6.0;4.5;4.0;0.0;7.0;;;;;
2016;WSM Final;7;M. Kieliszkowski;POL;27.5;10.0;5.0;2.5;3.0;4.0;3.0;;;;;
2016;WSM Final;8;G. SzymaÅ„ski;POL;25.5;5.0;2.0;2.5;5.0;5.0;6.0;;;;;
2016;WSM Final;9;M. BelÅ¡ak;SLO;21.0;2.0;3.5;4.5;6.0;3.0;2.0;;;;;
2016;WSM Final;10;L. Shahlaei;GBR;4.0;4.0;0.0;0.0;0.0;0.0;0.0;;;;;
2017;WSM Final;1;E. Hall;GBR;51.0;6.0;10.0;10.0;8.0;10.0;7.0;;;;;
2017;WSM Final;2;H. BjÃ¶rnsson;ISL;50.0;9.0;4.5;9.0;9.0;8.5;10.0;;;;;
2017;WSM Final;3;B. Shaw;USA;48.0;10.0;7.5;8.0;6.0;8.5;8.0;;;;;
2017;WSM Final;4;M. Licis;USA;36.5;4.0;7.5;6.0;4.0;6.0;9.0;;;;;
2017;WSM Final;5;J. Caron;CAN;35.5;8.0;7.5;6.0;2.0;6.0;6.0;;;;;
2017;WSM Final;6;M. Kieliszkowski;POL;29.0;7.0;2.0;3.5;10.0;1.5;5.0;;;;;
2017;WSM Final;7;L. Shahlaei;GBR;25.5;5.0;4.5;3.5;7.0;3.5;2.0;;;;;
2017;WSM Final;8;K. Janashia;GEO;23.0;3.0;1.0;6.0;3.0;6.0;4.0;;;;;
2017;WSM Final;9;Å½. Savickas;LTU;21.5;1.5;7.5;1.0;5.0;3.5;3.0;;;;;
2017;WSM Final;10;N. Best;USA;10.0;1.5;3.0;2.0;1.0;1.5;1.0;;;;;
2018;WSM Final;1;H. BjÃ¶rnsson;ISL;51.5;7.0;9.5;10.0;9.0;10.0;6.0;;;;;
2018;WSM Final;2;M. Kieliszkowski;POL;45.0;10.0;2.5;8.5;10.0;9.0;5.0;;;;;
2018;WSM Final;3;B. Shaw;USA;44.0;9.0;9.5;5.5;7.0;6.0;7.0;;;;;
2018;WSM Final;4;M. Licis;USA;38.5;6.0;7.0;8.5;6.0;2.0;9.0;;;;;
2018;WSM Final;5;J. Caron;CAN;35.0;5.0;8.0;3.0;4.0;7.0;8.0;;;;;
2018;WSM Final;6;J. Els;RSA;30.0;3.0;4.0;0.0;5.0;8.0;10.0;;;;;
2018;WSM Final;7;M. BelÅ¡ak;SLO;27.5;2.0;5.0;5.5;8.0;4.0;3.0;;;;;
2018;WSM Final;8;R. Oberst;USA;21.5;4.0;0.0;5.5;3.0;5.0;4.0;;;;;
2018;WSM Final;9;K. Janashia;GEO;21.0;8.0;6.0;0.0;2.0;3.0;2.0;;;;;
2018;WSM Final;10;Å½. Savickas;LTU;9.0;1.0;2.5;5.5;0.0;0.0;0.0;;;;;
2019;WSM Final;1;M. Licis;USA;46;8.0;9.0;10.0;9.0;10.0;;;;;;
2019;WSM Final;2;M. Kieliszkowski;POL;38;9.0;10.0;7.0;5.0;7.0;;;;;;
2019;WSM Final;3;H. BjÃ¶rnsson;ISL;37;4.0;7.0;7.0;10.0;9.0;;;;;;
2019;WSM Final;4;J. Caron;CAN;31;7.0;5.0;7.0;8.0;4.0;;;;;;
2019;WSM Final;5;T. Stoltman;GBR;30;10.0;6.0;3.0;3.0;8.0;;;;;;
2019;WSM Final;6;B. Shaw;USA;30;3.0;8.0;9.0;4.0;6.0;;;;;;
2019;WSM Final;7;L. Stoltman;GBR;20;5.0;3.0;3.0;6.0;3.0;;;;;;
2019;WSM Final;8;T. Mitchell;USA;18;2.0;4.0;5.0;2.0;5.0;;;;;;
2019;WSM Final;9;A. Bishop;GBR;15;1.0;2.0;3.0;7.0;2.0;;;;;;
2019;WSM Final;10;K. Janashia;GEO;7;6.0;1.0;0.0;0.0;0.0;;;;;;
2020;WSM Final;1;O. Novikov;UKR;47.0;9.0;10.0;6.0;7.0;8.0;7.0;;;;;
2020;WSM Final;2;T. Stoltman;GBR;43.5;6.0;5.5;10.0;2.0;10.0;10.0;;;;;
2020;WSM Final;3;J. Caron;CAN;42.0;5.0;8.0;9.0;10.0;2.0;8.0;;;;;
2020;WSM Final;4;J. Pritchett;USA;40.0;8.0;8.0;3.0;8.0;9.0;4.0;;;;;
2020;WSM Final;5;B. Shaw;USA;35.5;4.0;5.5;8.0;5.0;4.0;9.0;;;;;
2020;WSM Final;6;A. Bishop;GBR;34.0;10.0;8.0;4.0;4.0;3.0;5.0;;;;;
2020;WSM Final;7;K. Faires;USA;31.0;7.0;4.0;2.0;9.0;6.0;3.0;;;;;
2020;WSM Final;8;A. Å maukstelis;LAT;28.5;3.0;2.5;7.0;3.0;7.0;6.0;;;;;
2020;WSM Final;9;L. Richardson;GBR;22.5;2.0;2.5;5.0;6.0;5.0;2.0;;;;;
2020;WSM Final;10;G. Hicks;GBR;1.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;;
2021;WSM Final;1;T. Stoltman;GBR;45.5;10.0;10.0;8.5;2.5;4.5;10.0;;;;;
2021;WSM Final;2;B. Shaw;USA;42.5;8.0;5.0;10.0;5.0;6.5;8.0;;;;;
2021;WSM Final;3;M. Boudreault;CAN;36.5;3.0;7.0;8.5;8.0;1.0;9.0;;;;;
2021;WSM Final;4;T. Mitchell;USA;35.0;2.0;9.0;1.0;8.0;9.0;6.0;;;;;
2021;WSM Final;5;J. Caron;CAN;34.0;6.0;3.0;4.0;5.0;9.0;7.0;;;;;
2021;WSM Final;6;K. Janashia;GEO;32.5;9.0;2.0;7.0;5.0;4.5;5.0;;;;;
2021;WSM Final;7;L. Stoltman;GBR;32.0;7.0;6.0;4.0;10.0;2.0;3.0;;;;;
2021;WSM Final;8;A. Bishop;GBR;27.0;5.0;4.0;4.0;1.0;9.0;4.0;;;;;
2021;WSM Final;9;B. Thompson;USA;23.5;4.0;1.0;4.0;8.0;6.5;0.0;;;;;
2021;WSM Final;10;E. IngÃ³lfsson Melsted;ISL;20.5;1.0;8.0;4.0;2.5;3.0;2.0;;;;;
2022;WSM Final;1;T. Stoltman;GBR;53.5;9.0;8.5;9.0;8.0;9.0;10.0;;;;;
2022;WSM Final;2;M. Licis;USA;43.0;6.0;6.0;8.0;9.0;8.0;6.0;;;;;
2022;WSM Final;3;O. Novikov;UKR;43.0;8.0;10.0;10.0;10.0;4.0;1.0;;;;;
2022;WSM Final;4;B. Shaw;USA;37.5;5.0;6.0;5.5;7.0;7.0;7.0;;;;;
2022;WSM Final;5;M. Boudreault;CAN;34.5;2.0;4.0;5.5;4.0;10.0;9.0;;;;;
2022;WSM Final;6;T. Mitchell;USA;34.0;4.0;8.5;5.5;6.0;2.0;8.0;;;;;
2022;WSM Final;7;L. Stoltman;GBR;30.5;7.0;3.0;5.5;5.0;5.0;5.0;;;;;
2022;WSM Final;8;M. Hooper;CAN;30.0;10.0;6.0;3.0;3.0;6.0;2.0;;;;;
2022;WSM Final;9;E. IngÃ³lfsson Melsted;ISL;13.0;1.0;1.5;1.5;2.0;3.0;4.0;;;;;
2022;WSM Final;10;G. RhÃ©aume;CAN;11.0;3.0;1.5;1.5;1.0;1.0;3.0;;;;;
2023;WSM Final;1;M. Hooper;CAN;53.5;10.0;10.0;5.0;9.5;10.0;9.0;;;;;
2023;WSM Final;2;T. Stoltman;GBR;49.0;9.0;5.0;10.0;6.5;8.5;10.0;;;;;
2023;WSM Final;3;O. Novikov;UKR;41.0;8.0;7.5;9.0;6.5;3.0;7.0;;;;;
2023;WSM Final;4;T. Mitchell;USA;39.5;7.0;7.5;8.0;3.0;6.0;8.0;;;;;
2023;WSM Final;5;E. Singleton;USA;39.5;6.0;3.5;6.0;9.5;8.5;6.0;;;;;
2023;WSM Final;6;P. Kordiyaka;UKR;31.5;5.0;2.0;7.0;6.5;7.0;4.0;;;;;
2023;WSM Final;7;B. Shaw;USA;27.5;3.0;7.5;4.0;3.0;5.0;5.0;;;;;
2023;WSM Final;8;L. Stoltman;GBR;21.5;4.0;1.0;3.0;6.5;4.0;3.0;;;;;
2023;WSM Final;9;M. Ragg;NZL;18.5;2.0;7.5;2.0;3.0;2.0;2.0;;;;;
2023;WSM Final;10;J. Schoonwinkel;RSA;5.5;1.0;3.5;1.0;0.0;0.0;0.0;;;;;
2000;WSM Final - group;1;H. Girard;CAN;28.0;5.0;5.0;4.0;2.0;6.0;6.0;;;;;
2000;WSM Final - group;2;R. Dixon;GBR;27.0;4.0;6.0;2.5;6.0;4.5;4.0;;;;;
2000;WSM Final - group;3;D. Boyer;AUS;25.5;6.0;4.0;6.0;4.0;2.5;3.0;;;;;
2000;WSM Final - group;4;W. Baskin;USA;23.0;3.0;3.0;2.5;5.0;4.5;5.0;;;;;
2000;WSM Final - group;5;P. de Bruyn;RSA;16.5;2.0;2.0;5.0;3.0;2.5;2.0;;;;;
2000;WSM Final - group;6;J. HervÃ¡s;ESP;2.0;1.0;1.0;0.0;0.0;0.0;0.0;;;;;
2000;WSM Final - group;1;M. Samuelsson;SWE;29;6.0;6.0;1.0;5.0;5.0;6.0;;;;;
2000;WSM Final - group;2;R. VÃ¡gadal;FRO;23;5.0;5.0;3.0;6.0;1.0;3.0;;;;;
2000;WSM Final - group;3;G. Ross;GBR;23;4.0;3.0;6.0;3.0;3.0;4.0;;;;;
2000;WSM Final - group;4;J. Perry;USA;19;3.0;1.0;2.0;2.0;6.0;5.0;;;;;
2000;WSM Final - group;5;T. Ã“lafsson;ISL;18;2.0;4.0;5.0;1.0;4.0;2.0;;;;;
2000;WSM Final - group;6;R. Minkwitz;DEN;14;1.0;2.0;4.0;4.0;2.0;1.0;;;;;
2000;WSM Final - group;1;J. Virtanen;FIN;33.0;6.0;6.0;6.0;6.0;3.0;6.0;;;;;
2000;WSM Final - group;2;G. Badenhorst;RSA;23.5;5.0;2.0;5.0;5.0;5.5;1.0;;;;;
2000;WSM Final - group;3;B. Schoonveld;USA;19.5;2.0;4.0;1.0;2.0;5.5;5.0;;;;;
2000;WSM Final - group;4;T. Samuelsson;SWE;19.0;4.0;5.0;2.0;3.0;1.0;4.0;;;;;
2000;WSM Final - group;5;B. Kerschbaumer;AUT;18.0;3.0;3.0;4.0;4.0;2.0;2.0;;;;;
2000;WSM Final - group;6;B. Bell;GBR;13.0;1.0;1.0;3.0;1.0;4.0;3.0;;;;;
2000;WSM Final - group;1;S. Karlsen;NOR;32;6.0;5.0;4.0;5.0;6.0;6.0;;;;;
2000;WSM Final - group;2;M. Muhr;GER;30;4.0;6.0;5.0;6.0;5.0;4.0;;;;;
2000;WSM Final - group;3;L. Vaoga;NZL;20;2.0;4.0;3.0;2.0;4.0;5.0;;;;;
2000;WSM Final - group;4;M. Philippi;USA;18;5.0;3.0;6.0;4.0;0.0;0.0;;;;;
2000;WSM Final - group;5;G. Mullins;GBR;15;3.0;1.0;2.0;3.0;3.0;3.0;;;;;
2000;WSM Final - group;6;J. Tocaven;FRA;3;1.0;2.0;0.0;0.0;0.0;0.0;;;;;
2000;WSM Final - group;1;M. Pudzianowski;POL;31.0;5.0;6.0;6.0;3.0;6.0;5.0;;;;;
2000;WSM Final - group;2;P. Pfister;USA;27.0;3.0;5.0;3.0;6.0;4.0;6.0;;;;;
2000;WSM Final - group;3;Å½. Savickas;LTU;27.0;6.0;4.0;5.0;4.0;5.0;3.0;;;;;
2000;WSM Final - group;4;P. Baltus;NED;22.5;4.0;3.0;4.0;5.0;2.5;4.0;;;;;
2000;WSM Final - group;5;A. Rollinson;GBR;12.5;2.0;2.0;2.0;2.0;2.5;2.0;;;;;
2000;WSM Final - group;6;L. Fekete;HUN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;;
2001;WSM Final - group;1;J. RÃ¤sÃ¤nen;FIN;26.0;6.0;4.0;5.0;6.0;2.0;3.0;;;;;
2001;WSM Final - group;2;W. Zijlstra;NED;25.5;5.0;6.0;4.0;4.5;1.0;5.0;;;;;
2001;WSM Final - group;3;R. Dixon;GBR;24.0;2.0;2.0;6.0;2.0;6.0;6.0;;;;;
2001;WSM Final - group;4;K. Gillingham;USA;21.5;3.0;5.0;2.0;4.5;5.0;2.0;;;;;
2001;WSM Final - group;5;D. Boyer;AUS;20.0;4.0;3.0;3.0;3.0;3.0;4.0;;;;;
2001;WSM Final - group;6;I. Garrido;ESP;9.0;1.0;1.0;1.0;1.0;4.0;1.0;;;;;
2001;WSM Final - group;1;S. Karlsen;NOR;27.5;6.0;6.0;4.0;1.0;5.5;5.0;;;;;
2001;WSM Final - group;2;H. Girard;CAN;27.0;5.0;5.0;5.0;5.0;4.0;3.0;;;;;
2001;WSM Final - group;3;M. Philippi;USA;22.5;4.0;2.0;3.0;4.0;5.5;4.0;;;;;
2001;WSM Final - group;4;T. Samuelsson;SWE;21.0;1.0;4.0;6.0;3.0;1.0;6.0;;;;;
2001;WSM Final - group;5;M. Iliffe;GBR;14.5;2.0;1.0;2.0;6.0;2.5;1.0;;;;;
2001;WSM Final - group;6;R. VÃ¡gadal;FRO;13.5;3.0;3.0;1.0;2.0;2.5;2.0;;;;;
2001;WSM Final - group;1;M. Samuelsson;SWE;28.0;6.0;6.0;3.0;2.0;5.0;6.0;;;;;
2001;WSM Final - group;2;M. Muhr;GER;26.0;4.0;4.0;6.0;5.0;6.0;1.0;;;;;
2001;WSM Final - group;3;T. Lyndon;CAN;25.0;5.0;5.0;5.0;1.0;4.0;5.0;;;;;
2001;WSM Final - group;4;R. Bergmanis;LAT;17.5;2.0;2.0;4.0;3.5;3.0;3.0;;;;;
2001;WSM Final - group;5;J. Perry;USA;16.5;3.0;3.0;1.0;3.5;2.0;4.0;;;;;
2001;WSM Final - group;6;G. Ross;GBR;13.0;1.0;1.0;2.0;6.0;1.0;2.0;;;;;
2002;WSM Final - group;1;S. Karlsen;NOR;31;6.0;5.0;6.0;5.0;5.0;4.0;;;;;
2002;WSM Final - group;2;J. Dymek;POL;26;3.0;4.0;4.0;6.0;6.0;3.0;;;;;
2002;WSM Final - group;3;J. Marunde;USA;22;4.0;2.0;5.0;3.0;3.0;5.0;;;;;
2002;WSM Final - group;4;B. Kerschbaumer;AUT;21;5.0;6.0;2.0;4.0;2.0;2.0;;;;;
2002;WSM Final - group;5;J. Paulin;CAN;17;2.0;0.0;3.0;2.0;4.0;6.0;;;;;
2002;WSM Final - group;6;S. Murray;SCO;8;1.0;3.0;1.0;1.0;1.0;1.0;;;;;
2002;WSM Final - group;1;R. Bergmanis;LAT;28.0;5.0;6.0;3.0;2.0;6.0;6.0;;;;;
2002;WSM Final - group;2;J. RÃ¤sÃ¤nen;FIN;25.0;4.0;2.0;4.0;5.0;5.0;5.0;;;;;
2002;WSM Final - group;3;B. Schoonveld;USA;23.5;2.0;4.5;6.0;6.0;3.0;2.0;;;;;
2002;WSM Final - group;4;J. Hams;NED;22.0;6.0;3.0;2.0;3.0;4.0;4.0;;;;;
2002;WSM Final - group;5;H. Ollesch;GER;21.5;3.0;4.5;5.0;4.0;2.0;3.0;;;;;
