Year;Comp name;Event;Info
2009;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 270 to 363 kg 
2009;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg 
2009;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 17 to 24 kg, 5.00 metres 
2009;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2010;WSM Final - group;Medley;40 meters / 75 second time limit / 125 kg farmer's walk, 7x 450 kg tire flip (20 metres each) 
2010;WSM Final - group;Truck Pull;20000 kg / 20 meters / 75 second time limit 
2010;WSM Final - group;Power Stairs;225 kg / 75 second time limit / 12 stairs 
2010;WSM Final - group;Deadlift;345 kg / 75 second time limit 
2010;WSM Final - group;Axle Press;155 kg / 75 second time limit 
2010;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 110 kg kegs
2010;WSM Final - group;Farmer's Walk;160 kg / 40 meters / 75 second time limit 
2010;WSM Final - group;Power Stairs;225 kg / 75 second time limit / 12 stairs 
2010;WSM Final - group;Deadlift;345 kg / 75 second time limit 
2010;WSM Final - group;Africa Stone;175 kg 
2010;WSM Final - group;Block Press;4 implements / 75 second time limit / 110 to 150 kg 
2010;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 110 kg kegs
2010;WSM Final - group;Medley;40 meters / 75 second time limit / 125 kg farmer's walk, 7x 450 kg tire flip (20 metres each) 
2010;WSM Final - group;Truck Pull;20000 kg / 20 meters / 75 second time limit 
2010;WSM Final - group;Power Stairs;225 kg / 75 second time limit / 12 stairs 
2010;WSM Final - group;Deadlift;345 kg / 75 second time limit 
2010;WSM Final - group;Dumbbell Press;95 kg / 75 second time limit 
2010;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 110 kg kegs
2010;WSM Final - group;Farmer's Walk;160 kg / 40 meters / 75 second time limit 
2010;WSM Final - group;Squat Lift;345 kg / 75 second time limit 
2010;WSM Final - group;Africa Stone;175 kg 
2010;WSM Final - group;Axle Press;155 kg / 75 second time limit 
2010;WSM Final - group;Deadlift Hold;370 kg 
2010;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 110 kg kegs
2010;WSM Final - group;Medley;40 meters / 75 second time limit / 125 kg farmer's walk, 7x 450 kg tire flip (20 metres each) 
2010;WSM Final - group;Squat Lift;345 kg / 75 second time limit 
2010;WSM Final - group;Africa Stone;175 kg 
2010;WSM Final - group;Block Press;4 implements / 75 second time limit / 110 to 150 kg 
2010;WSM Final - group;Deadlift Hold;370 kg 
2010;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 110 kg kegs
2011;WSM Final - group;Loading Race;4 implements / 75 second time limit / 2 kegs: 115 kg, 2 kegs: 120 kg 
2011;WSM Final - group;Car Walk;450 kg / 25 meters / 75 second time limit 
2011;WSM Final - group;Truck Pull;12000 kg / 20 meters / 75 second time limit 
2011;WSM Final - group;Deadlift;360 kg / 75 second time limit / Car deadlift 
2011;WSM Final - group;Dumbbell Press;4 implements / 90 second time limit / 100 to 115 kg 
2011;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 120 to 180 kg
2011;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg sacks 
2011;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.00 metres 
2011;WSM Final - group;Squat Lift;325 kg / 75 second time limit 
2011;WSM Final - group;Truck Pull;12000 kg / 20 meters / 75 second time limit 
2011;WSM Final - group;Dumbbell Press;4 implements / 90 second time limit / 100 to 115 kg 
2011;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 120 to 180 kg
2011;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg sacks 
2011;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.00 metres 
2011;WSM Final - group;Car Walk;450 kg / 25 meters / 75 second time limit 
2011;WSM Final - group;Deadlift;360 kg / 75 second time limit / Car deadlift 
2011;WSM Final - group;Block Press;4 implements / 90 second time limit / 110 to 150 kg 
2011;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 120 to 180 kg
2011;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg sacks 
2011;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.00 metres 
2011;WSM Final - group;Squat Lift;325 kg / 75 second time limit 
2011;WSM Final - group;Truck Pull;12000 kg / 20 meters / 75 second time limit 
2011;WSM Final - group;Block Press;4 implements / 90 second time limit / 110 to 150 kg 
2011;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 120 to 180 kg
2011;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg sacks 
2011;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.00 metres 
2011;WSM Final - group;Car Walk;450 kg / 25 meters / 75 second time limit 
2011;WSM Final - group;Deadlift Hold;370 kg 
2011;WSM Final - group;Block Press;4 implements / 90 second time limit / 110 to 150 kg 
2011;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 120 to 180 kg
2012;WSM Final - group;Loading Race;4 implements / 75 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg 
2012;WSM Final - group;Truck Pull;8000 kg / 30 meters / 75 second time limit 
2012;WSM Final - group;Dumbbell Press;95 kg / 75 second time limit 
2012;WSM Final - group;Deadlift;354 kg / 75 second time limit / Car deadlift 
2012;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.75 metres 
2012;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 125 to 186 kg
2012;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg anvils 
2012;WSM Final - group;Truck Pull;8000 kg / 30 meters / 75 second time limit 
2012;WSM Final - group;Viking Press;155 kg / 75 second time limit / No resting allowed 
2012;WSM Final - group;Super Yoke;455 kg / 25 meters / 75 second time limit 
2012;WSM Final - group;Squat Lift;318 kg / 75 second time limit 
2012;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 125 to 186 kg
2012;WSM Final - group;Loading Race;4 implements / 75 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg 
2012;WSM Final - group;Arm Over Arm Pull;7000 kg / 20 meters / 75 second time limit 
2012;WSM Final - group;Dumbbell Press;95 kg / 75 second time limit 
2012;WSM Final - group;Deadlift;354 kg / 75 second time limit / Car deadlift 
2012;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.75 metres 
2012;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 125 to 186 kg
2012;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg anvils 
2012;WSM Final - group;Arm Over Arm Pull;7000 kg / 20 meters / 75 second time limit 
2012;WSM Final - group;Viking Press;155 kg / 75 second time limit / No resting allowed 
2012;WSM Final - group;Squat Lift;318 kg / 75 second time limit 
2012;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.75 metres 
2012;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 125 to 186 kg
2012;WSM Final - group;Loading Race;4 implements / 75 second time limit / 4x 125 kg anvils 
2012;WSM Final - group;Truck Pull;8000 kg / 30 meters / 75 second time limit 
2012;WSM Final - group;Viking Press;155 kg / 75 second time limit / No resting allowed 
2012;WSM Final - group;Super Yoke;455 kg / 25 meters / 75 second time limit 
2012;WSM Final - group;Deadlift;354 kg / 75 second time limit / Car deadlift 
2012;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 125 to 186 kg
2013;WSM Final - group;Loading Race;4 implements / 75 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg 
2013;WSM Final - group;Viking Press;150 kg / 60 second time limit / No resting allowed 
2013;WSM Final - group;Squat Lift;325 kg / 60 second time limit 
2013;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg 
2013;WSM Final - group;Truck Pull;12000 kg / 25 meters / 75 second time limit 
2013;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 130 to 186 kg
2013;WSM Final - group;Super Yoke;450 kg / 30 meters / 60 second time limit 
2013;WSM Final - group;Deadlift Hold;360 kg 
2013;WSM Final - group;Axle Press;162 kg / 60 second time limit 
2013;WSM Final - group;Truck Pull;12000 kg / 25 meters / 75 second time limit 
2013;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.80 metres 
2013;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 130 to 186 kg
2013;WSM Final - group;Loading Race;4 implements / 75 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg 
2013;WSM Final - group;Deadlift;360 kg / 60 second time limit / Car deadlift 
2013;WSM Final - group;Axle Press;162 kg / 60 second time limit 
2013;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg 
2013;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.80 metres 
2013;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 130 to 186 kg
2013;WSM Final - group;Loading Race;4 implements / 75 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg 
2013;WSM Final - group;Deadlift;360 kg / 60 second time limit / Car deadlift 
2013;WSM Final - group;Viking Press;150 kg / 60 second time limit / No resting allowed 
2013;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg 
2013;WSM Final - group;Truck Pull;12000 kg / 25 meters / 75 second time limit 
2013;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 130 to 186 kg
2013;WSM Final - group;Super Yoke;450 kg / 30 meters / 60 second time limit 
2013;WSM Final - group;Viking Press;150 kg / 60 second time limit / No resting allowed 
2013;WSM Final - group;Squat Lift;325 kg / 60 second time limit 
2013;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg 
2013;WSM Final - group;Keg Toss;8 implements / 75 second time limit / 18 to 25 kg, 4.80 metres 
2013;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 130 to 186 kg
2014;WSM Final - group;Loading Race;4 implements / 60 second time limit / 4x 125 kg anvils 
2014;WSM Final - group;Truck Pull;12000 kg / 30 meters / 60 second time limit 
2014;WSM Final - group;Squat Lift;60 second time limit / 7 lifts, 280 to 370 kg 
2014;WSM Final - group;Super Yoke;455 kg / 25 meters / 60 second time limit 
2014;WSM Final - group;Log Lift;150 kg / 60 second time limit 
2014;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 130 to 186 kg
2014;WSM Final - group;Loading Race;4 implements / 60 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg 
2014;WSM Final - group;Fingal's Fingers;5 implements / 60 second time limit / 200 to 320 kg 
2014;WSM Final - group;Deadlift;60 second time limit / 7 lifts, 280 to 370 kg 
2014;WSM Final - group;Car Walk;455 kg / 25 meters / 60 second time limit 
2014;WSM Final - group;Viking Press;160 kg / 60 second time limit / No resting allowed 
2014;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 130 to 186 kg
2014;WSM Final - group;Loading Race;4 implements / 60 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg 
2014;WSM Final - group;Truck Pull;12000 kg / 30 meters / 60 second time limit 
2014;WSM Final - group;Squat Lift;60 second time limit / 7 lifts, 280 to 370 kg 
2014;WSM Final - group;Super Yoke;455 kg / 25 meters / 60 second time limit 
2014;WSM Final - group;Log Lift;150 kg / 60 second time limit 
2014;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 130 to 186 kg
2014;WSM Final - group;Loading Race;4 implements / 60 second time limit / 4x 125 kg anvils 
2014;WSM Final - group;Truck Pull;12000 kg / 30 meters / 60 second time limit 
2014;WSM Final - group;Deadlift;60 second time limit / 7 lifts, 280 to 370 kg 
2014;WSM Final - group;Super Yoke;455 kg / 25 meters / 60 second time limit 
2014;WSM Final - group;Viking Press;160 kg / 60 second time limit / No resting allowed 
2014;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 130 to 186 kg
2014;WSM Final - group;Loading Race;4 implements / 60 second time limit / 4x 125 kg anvils 
2014;WSM Final - group;Fingal's Fingers;5 implements / 60 second time limit / 200 to 320 kg 
2014;WSM Final - group;Deadlift;60 second time limit / 7 lifts, 280 to 370 kg 
2014;WSM Final - group;Car Walk;455 kg / 25 meters / 60 second time limit 
2014;WSM Final - group;Log Lift;150 kg / 60 second time limit 
2014;WSM Final - group;Atlas Stones;5 implements / 60 second time limit / 130 to 186 kg
2015;WSM Final - group;Loading Race;3 implements / 60 second time limit / 1 sack: 125 kg, 2 barrels: 111 kg each 
2015;WSM Final - group;Deadlift;370 kg / 60 second time limit / Car deadlift 
2015;WSM Final - group;Circus Barbell;161 kg / 60 second time limit 
2015;WSM Final - group;Kettlebell Toss;7 implements / 60 second time limit / 23 to 30 kg, 4.70 metres 
